Genotype	Tetrad	Tetrad.CO.Event	Chr	Chromatid1	Chromatid2	GC_tracLength	GC.nbSNP	flankingSNP.F1	flankingSNP.F2	SNP.MAP.F1	SNP.MAP.F2	SNP.MAP.GC	FlankingSNP1.Ler	FlankingSNP2.Ler	taille_Col	Taille_Ler	difference_Col_Ler	SNP_density	is.complexGCCO
QFi	QFi_Tet18	QFi_Tet18_CO_47	Chr4	1	2	0	0	14638022	14638536	6	7	6_7	13979435	13979949	514	514	0	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_46	Chr4	3	4	901.5	1	15080301	15082104	7	11	7_15_11	14428940	14430988	1803	2048	-245	0.0554631170271769	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_41	Chr4	2	3	1102	9	18457923	18459605	11	13	11_15_15_15_15_15_15_15_15_15_13	17856670	17858351	1682	1681	1	0.535077288941736	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_48	Chr5	3	4	987	5	1307568	1308792	7	11	7_13_13_13_13_15_11	1312422	1313637	1224	1215	9	0.408496732026144	TRUE
QFi	QFi_Tet18	QFi_Tet18_CO_59	Chr5	3	4	0	0	3907257	3914246	11	7	11_7	3947277	3954266	6989	6989	0	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_52	Chr5	1	3	0	0	5206625	5207419	7	4	7-3-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-4	5226798	5227590	794	792	2	0	TRUE
QFi	QFi_Tet18	QFi_Tet18_CO_50	Chr5	2	3	0	0	5833030	5833749	4	6	4_6	5844864	5845584	719	720	-1	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_53	Chr5	1	4	1061	1	6315147	6317269	6	13	6_5_13	6307394	6309515	2122	2121	1	0.0471253534401508	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_60	Chr5	1	3	2103	21	7081929	7084741	13	10	13_14_14_14_14_14_14_14_14_14_14_14_14_14_14_14_14_14_14_14_14_14_10	7043684	7046245	2812	2561	251	0.746799431009957	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_62	Chr5	1	3	1919.5	4	7754460	7757457	10	13	10_9_9_11_11_13	7755904	7758937	2997	3033	-36	0.133466800133467	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_49	Chr5	2	3	0	0	8775562	8777233	13	11	13_11	8779568	8781237	1671	1669	2	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_64	Chr5	1	4	482.5	2	14811015	14812726	11	4	11_9_9_9_9_11_11_11_11_11_11_11_11_11_11_11_11_11_11_11_11_3_3_4	14119040	14120770	1711	1730	-19	0.116890707188778	TRUE
QFi	QFi_Tet18	QFi_Tet18_CO_66	Chr5	1	4	129.5	1	18360127	18360386	4	11	4_12_11	17751898	17752157	259	259	0	0.386100386100386	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_63	Chr5	3	4	0	0	19693732	19699866	11	7	11_7	19090861	19096994	6134	6133	1	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_65	Chr5	2	4	0	0	20238668	20239156	7	13	 7-15-15-15-15-15-7-13	19644218	19644706	488	488	0	0	TRUE
QFi	QFi_Tet18	QFi_Tet18_CO_57	Chr5	1	3	0	0	21024389	21025693	13	10	13_10	20387607	20388905	1304	1298	6	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_55	Chr5	3	4	0	0	21285536	21286536	10	6	10_6	20648511	20649511	1000	1000	0	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_54	Chr5	1	4	0	0	22318436	22322272	6	13	6_13	21701125	21704962	3836	3837	-1	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_61	Chr5	1	3	1881.5	1	23650917	23654680	13	10	13_9_10	23034714	23038478	3763	3764	-1	0.0265745415891576	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_58	Chr5	1	3	0	0	24530680	24531141	10	13	10_13	23913172	23913629	461	457	4	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_51	Chr5	1	3	0	0	25919785	25921384	13	10	13_10	25311639	25313238	1599	1599	0	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_56	Chr5	1	2	0	0	26348354	26349279	10	11	10_11	25741447	25742373	925	926	-1	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_9	Chr1	3	4	0	0	210319	266254	11	7	11_7	210893	266829	55935	55936	-1	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_7	Chr1	1	2	0	0	1479099	1479546	7	6	7_6	1477668	1478115	447	447	0	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_3	Chr1	3	4	0	0	2235546	2236793	6	10	6_10	2239941	2241188	1247	1247	0	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_8	Chr1	1	2	0	0	2852039	2857210	10	11	10_11	2847884	2853005	5171	5121	50	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_4	Chr1	1	4	3624.5	5	3909328	3914705	11	4	11_3_3_3_3_3_4	3944214	3949590	5377	5376	1	0.0929886553840431	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_5	Chr1	1	4	0	0	5324844	5325156	4	11	4_11	5357047	5357359	312	312	0	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_2	Chr1	1	4	1450.5	4	8004992	8008512	11	4	11_12_12_12_12_4_12_4	7997372	8000893	3520	3521	-1	0.113636363636364	TRUE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_1	Chr1	1	4	0	0	8977128	8985127	4	11	4_11	8904263	8912262	7999	7999	0	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_6	Chr1	1	4	1833	1	20602978	20606644	11	4	11_3_4	19572936	19576556	3666	3620	46	0.0272776868521549	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_16	Chr2	2	3	1798	3	221764	224871	13	11	13_14_10_10_10_11	171420	174527	3107	3107	0	0.0965561635017702	TRUE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_10	Chr2	2	3	0	0	15732038	15738698	11	13	11_13	15062781	15069300	6660	6519	141	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_14	Chr2	1	4	0	0	16563336	16564796	13	6	13_6	15894212	15895672	1460	1460	0	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_12	Chr2	2	3	3725.5	6	17490902	17497065	6	4	6_2_2_2_2_2_2_4	16820700	16826877	6163	6177	-14	0.0973551841635567	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_13	Chr2	2	4	0	0	17665296	17667049	4	10	4_10	16995493	16997242	1753	1749	4	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_15	Chr2	3	4	0	0	17876819	17877612	10	6	10_6	17213852	17214654	793	802	-9	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_17	Chr2	3	4	0	0	18228405	18259080	6	10	6_10	17570013	17600688	30675	30675	0	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_11	Chr2	1	3	0	0	19010975	19012165	10	13	10_13	18348678	18349869	1190	1191	-1	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_19	Chr3	2	4	0	0	40165	41293	10	4	10_4	40244	41371	1128	1127	1	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_18	Chr3	2	4	2145	4	1032180	1036006	4	10	4_12_12_12_12_10	1033553	1037409	3826	3856	-30	0.104547830632514	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_23	Chr3	3	4	4533	5	1517229	1525377	10	6	10_14_14_14_14_14_6	1519793	1527957	8148	8164	-16	0.0613647520864016	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_25	Chr3	2	3	0	0	2362654	2363905	6	4	6-8-4-4-8-4	2381690	2382942	1251	1252	-1	0	TRUE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_26	Chr3	1	3	0	0	2827714	2830269	4	7	4_7	2835164	2837714	2555	2550	5	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_29	Chr3	3	4	3629	0	4341793	4346182	7	11	7_8_8_8_12_12_12_12_12_12_12_12_12_12_11	4364770	4369111	4389	4341	48	0	TRUE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_28	Chr3	3	4	1751.5	4	7190246	7192317	11	7	11_3_3_3_3_7	7255606	7257681	2071	2075	-4	0.193143408981168	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_27	Chr3	3	4	3318.5	4	7859674	7866053	7	11	7_3_3_3_3_11	7918846	7924985	6379	6139	240	0.062705753252861	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_21	Chr3	3	4	0	0	17974116	17976391	11	7	11_7	17148679	17150956	2275	2277	-2	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_22	Chr3	2	4	0	0	18611787	18618364	7	13	7_13	17791165	17797744	6577	6579	-2	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_20	Chr3	2	4	0	0	18821782	18822481	13	7	13_7	18014015	18014715	699	700	-1	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_24	Chr3	1	3	0	0	19280300	19284386	7	4	7_4	18467188	18471275	4086	4087	-1	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_32	Chr4	3	4	0	0	8194311	8195351	11	7	11-7-7-7-7-7-7-7-7-8-7	7594185	7595225	1040	1040	0	0	TRUE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_36	Chr4	2	4	960	2	8478903	8480517	7	13	7-5-7-7-7-7-5-5-13	7868844	7870458	1614	1614	0	0.123915737298637	TRUE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_37	Chr4	1	3	0	0	12723958	12726003	13	10	13_10	12076562	12078607	2045	2045	0	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_31	Chr4	1	3	0	0	13996577	13998471	10	13	10_13	13336695	13338589	1894	1894	0	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_30	Chr4	1	3	0	0	14761557	14763549	13	10	13_10	14104353	14106327	1992	1974	18	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_34	Chr4	2	4	1652	3	14889955	14892363	10	4	10_12_12_12_4	14243557	14245964	2408	2407	1	0.124584717607973	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_35	Chr4	2	4	2311	0	15411488	15415403	4	10	4_3_3_3_3_3_3_10	14759774	14763724	3915	3950	-35	0	TRUE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_33	Chr4	1	3	1015	4	17547652	17549618	10	13	10_14_14_14_14_13	16926542	16928506	1966	1964	2	0.203458799593082	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_41	Chr5	2	3	0	0	4929002	4936181	13	11	13_11	4950278	4957455	7179	7177	2	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_52	Chr5	3	4	0	0	5235906	5237963	11	7	11-12-11-11-11-11-11-11-7	5252108	5254165	2057	2057	0	0	TRUE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_47	Chr5	2	4	736.5	1	8332626	8334099	7	13	7-15-13-13-13-15-13	8367249	8368722	1473	1473	0	0.0678886625933469	TRUE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_38	Chr5	2	3	0	0	8733909	8735564	13	11	13_11	8744605	8746260	1655	1655	0	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_45	Chr5	1	4	0	0	17171968	17182189	11	4	11_4	16616866	16628290	10221	11424	-1203	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_46	Chr5	1	4	0	0	19022308	19022422	4	11	4_11	18422042	18422156	114	114	0	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_44	Chr5	2	3	0	0	20107260	20186431	11	13	11_13	19513495	19592646	79171	79151	20	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_51	Chr5	1	4	0	0	20563883	20630806	13	6	13_6	19964051	19995125	66923	31074	35849	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_50	Chr5	1	4	0	0	21587292	21590828	6	13	6_13	20946875	20950419	3536	3544	-8	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_40	Chr5	2	3	0	0	23405781	23406388	13	11	13_11	22789680	22790287	607	607	0	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_43	Chr5	1	2	1778	1	23575356	23578912	11	10	11_12_10	22957777	22961333	3556	3556	0	0.0281214848143982	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_49	Chr5	1	3	0	0	25585132	25587322	10	13	10_13	24973817	24976012	2190	2195	-5	0	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_48	Chr5	2	3	1167	1	25802059	25804393	13	11	13_9_11	25196554	25198888	2334	2334	0	0.0428449014567267	FALSE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_42	Chr5	1	2	1998	9	25970333	25973880	11	10	11_9_9_9_9_9_9_9_9_9_10-10-10-10-10-10-10-14-10	25362363	25365912	3547	3549	-2	0.253735551170003	TRUE
QFiFa	QFiFa_Tet19	QFiFa_Tet19_CO_39	Chr5	1	2	491	1	26496382	26498160	14	11	10-14-14-14-14-14_10_10_12_11	25887861	25889641	1778	1780	-2	0.0562429696287964	TRUE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_14	Chr1	1	2	0	0	210319	266254	10	11	10_11	210893	266829	55935	55936	-1	0	FALSE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_1	Chr1	1	4	0	0	387895	432021	11	4	11_4	388352	432472	44126	44120	6	0	FALSE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_6	Chr1	2	3	1022.5	5	1817391	1819235	4	6	4_2_2_2_2_2_6	1821644	1823489	1844	1845	-1	0.27114967462039	FALSE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_8	Chr1	1	4	878	1	2146945	2148701	6	13	6_14_13	2151478	2153242	1756	1764	-8	0.0569476082004556	FALSE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_13	Chr1	2	4	0	0	6729435	6730931	13	7	13_7	6738847	6740344	1496	1497	-1	0	FALSE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_5	Chr1	1	3	0	0	7545952	7550110	7	4	7_4	7526789	7530948	4158	4159	-1	0	FALSE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_7	Chr1	2	3	0	0	7840312	7841768	4	6	4_6	7814290	7815746	1456	1456	0	0	FALSE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_4	Chr1	1	4	0	0	12497519	12497957	6	13	6_13	12514139	12514577	438	438	0	0	FALSE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_10	Chr1	2	4	3396.5	3	18466799	18472617	13	7	13_15_15_15_7	17504140	17509957	5818	5817	1	0.0515641113784806	FALSE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_3	Chr1	1	2	479.5	3	18905931	18906584	7	6	7_5_5_5_6	17927556	17928196	653	640	13	0.459418070444104	FALSE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_12	Chr1	3	4	0	0	19421396	19423215	6	10	6_10	18414393	18416212	1819	1819	0	0	FALSE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_9	Chr1	2	4	1880	6	23510150	23512939	10	4	10_12_12_12_12_12_12_4	22443420	22446211	2789	2791	-2	0.215130871280029	FALSE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_11	Chr1	2	3	0	0	23770442	23770757	4	6	4_6	22711399	22711714	315	315	0	0	FALSE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_2	Chr1	1	2	0	0	27261944	27264200	6	7	6_7	26194438	26196694	2256	2256	0	0	FALSE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_17	Chr2	1	4	1280.5	1	278543	281104	4	11	4_3_11	221660	224221	2561	2561	0	0.0390472471690746	FALSE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_16	Chr2	1	4	0	0	1093921	1095368	11	4	11_4	1030710	1032167	1447	1457	-10	0	FALSE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_15	Chr2	1	4	0	0	17661450	17663241	4	11	4_11	16991646	16993439	1791	1793	-2	0	FALSE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_18	Chr2	1	4	518	0	19504384	19505631	11	8	11_8_4_4_4_8-4	18842494	18843750	1247	1256	-9	0	TRUE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_21	Chr3	1	4	2978.5	6	22595914	22600293	13	6	13_5_5_5_5_5_5_6	21713990	21718360	4379	4370	9	0.13701758392327	FALSE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_22	Chr3	1	2	0	0	22977282	22977873	6	7	6_7	22089185	22089776	591	591	0	0	FALSE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_26	Chr4	2	4	0	0	810780	812446	7	13	7-13-14-13	843411	845076	1666	1665	1	0	TRUE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_25	Chr4	2	3	466	2	10274383	10275283	13	11	13_9_9_11	9703978	9704884	900	906	-6	0.222222222222222	FALSE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_27	Chr4	1	2	3096.5	0	15988038	15993205	11	10	11_14_14_14_14_14_14_14_10	15343736	15348901	5167	5165	2	0	TRUE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_36	Chr5	3	4	441	1	2958134	2959137	6	10	6_2_9_10	2978081	2979007	1003	926	77	0.0997008973080758	TRUE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_31	Chr5	3	4	3323.5	2	6744948	6751553	10	6	10_14_14_6	6730157	6736763	6605	6606	-1	0.0302800908402725	FALSE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_34	Chr5	1	4	865.5	3	7677838	7679110	6	13	6_5_5_5_13	7680456	7681728	1272	1272	0	0.235849056603774	FALSE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_37	Chr5	2	3	1148.5	1	22323271	22325568	13	11	13_15_11	21705961	21708267	2297	2306	-9	0.043535045711798	FALSE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_33	Chr5	1	4	2021	2	22661746	22665793	11	4	11_15_7_7_4	22040537	22044583	4047	4046	1	0.0494193229552755	TRUE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_30	Chr5	1	3	0	0	24283082	24285098	4	7	4_7	23662702	23664718	2016	2016	0	0	FALSE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_35	Chr5	3	4	356	2	25755295	25755984	7	11	7_3_3_11	25149555	25150243	689	688	1	0.290275761973875	FALSE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_32	Chr5	3	4	0	0	26901526	26902106	11	7	11_7	26297514	26298094	580	580	0	0	FALSE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_20	Chr3	1	4	0	0	22601616	22602819	6	13	6_13	21719683	21720886	1203	1203	0	0	FALSE
QFiFa	QFiFa_Tet20	QFiFa_Tet20_CO_19	Chr3	1	4	1654	2	22602819	22606049	13	6	13_14_14_6	21720886	21724116	3230	3230	0	0.0619195046439629	FALSE
